#    X         Y         F606W       rms      N     F814W      rms       N        RA               DEC               flag  
#
  2654.059   483.220     23.8011    0.152     3     23.3701    0.037     3     43.88565306713    -54.14681180876        1
  2659.932   485.769     33.9021    9.900     1     28.5511    9.900     1     43.88579232339    -54.14677640326        0
  2865.713   484.022     33.9021    9.900     1     28.5511    0.371     3     43.89067164131    -54.14680059660        1
  2985.862   469.319     28.0131    0.066     3     27.2951    0.551     2     43.89352055711    -54.14700476744        0
  3073.134   455.834     28.9721    9.900     1     28.1161    9.900     1     43.89558993574    -54.14719203263        0
  3068.331   470.304     33.9021    9.900     1     28.2921    1.371     2     43.89547600405    -54.14699105815        0
  3083.029   472.647     30.1981    9.900     1     28.5801    9.900     1     43.89582450547    -54.14695851078        1
  3088.602   469.120     33.9021    9.900     1     28.9011    9.900     1     43.89595666028    -54.14700749592        0
  3104.705   480.454     29.4921    0.880     2     30.5951    9.900     1     43.89633844491    -54.14685007063        0
  3111.702   470.689     29.6401    9.900     1     29.4331    9.900     1     43.89650438666    -54.14698569586        0
  3126.475   463.183     27.9191    0.722     2     26.8161    9.900     1     43.89685470118    -54.14708994279        1
  3163.005   453.050     30.5001    9.900     1     29.1351    9.900     1     43.89772091759    -54.14723066903        0
  3162.494   462.423     29.9801    0.488     2     30.7251    9.900     1     43.89770876446    -54.14710048612        1
  3139.307   484.504     30.0041    9.900     1     33.0021    9.900     1     43.89715888639    -54.14679380760        1
  3178.904   461.328     30.0371    9.900     1     29.5301    9.900     1     43.89809787277    -54.14711568908        1
  3181.845   459.836     31.8671    9.900     1     28.2521    9.900     1     43.89816761405    -54.14713641069        1
  3164.936   477.538     29.6511    9.900     1     28.7221    0.719     2     43.89776660840    -54.14689055063        0
  3229.389   454.704     29.0681    9.900     1     28.2461    9.900     1     43.89929497207    -54.14720767345        1
  3286.797   454.583     29.0541    1.562     2     30.2771    9.900     1     43.90065619963    -54.14720933422        0
  3287.392   455.422     33.9021    9.900     1     33.0021    9.900     1     43.90067030383    -54.14719768101        0
  3280.933   484.557     29.4391    9.900     1     32.5701    9.900     1     43.90051701048    -54.14679302259        0
  3316.640   483.133     29.2161    9.900     1     30.3371    9.900     1     43.90136367407    -54.14681278843        1
  3394.316   452.368     29.6031    9.900     1     28.4231    1.247     2     43.90320564392    -54.14724006160        0
  3434.036   450.088     28.8741    2.370     2     29.2271    0.290     2     43.90414747730    -54.14727171517        1
  3476.468   458.560     28.1561    0.843     2     26.7941    3.965     2     43.90515354891    -54.14715403157        0
  3479.946   447.883     31.0981    0.358     2     28.8941    0.601     2     43.90523608585    -54.14730232492        0
  3479.247   452.687     25.8491    1.081     2     33.0021    9.900     1     43.90521948066    -54.14723560164        0
  3479.427   457.611     28.0261    1.991     2     27.9591    9.900     1     43.90522371710    -54.14716721136        0
  3481.092   485.268     29.9741    9.900     1     28.6411    9.900     1     43.90526301862    -54.14678307832        0
  3493.645   453.432     31.1501    9.900     1     28.8861    9.900     1     43.90556087349    -54.14722524925        1
  3500.068   475.728     30.2731    9.900     1     33.0021    9.900     1     43.90571302533    -54.14691557434        0
  3503.851   475.787     29.6131    9.900     1     29.0671    0.001     2     43.90580272473    -54.14691475358        0
  3534.781   449.766     27.8731    0.890     2     27.3001    9.900     1     43.90653629330    -54.14727615271        0
  3545.322   437.284     27.4081    0.290     4     26.8541    9.900     1     43.90678632283    -54.14744951356        0
  3557.876   451.533     33.9021    9.900     1     28.8941    1.760     3     43.90708389771    -54.14725160260        0
  3551.481   482.635     26.8871    0.196     2     26.3551    9.900     1     43.90693204522    -54.14681962418        0
  3556.936   472.200     27.7161    0.272     3     27.2671    0.166     2     43.90706146343    -54.14696455567        0
  3551.466   480.603     27.5931    0.378     2     27.1191    0.067     2     43.90693170377    -54.14684784695        0
