#    X        Y           F606W     F814W
#    ACS/WFC-pixel            ACS/WFC  
  1235.889   957.984      23.016    21.452
  1420.027   982.658      23.099    21.098
  1492.846   980.936      21.030    19.230
  1517.106   957.631      23.832    22.330
  1646.976   960.779      25.636    23.527
  1861.280   929.776      24.309    22.847
  1977.041   967.535      23.278    21.713
  2033.370   968.738      21.886    20.198
  2094.470   973.819      26.977    25.590
  2122.933   981.232      25.098    23.576
  2154.504   908.918      24.456    23.080
  2226.374   902.720      18.792    16.971
  2284.297   892.674      24.972    23.290
  2378.598   959.411      26.617    24.879
  2386.543   958.745      28.921    29.327
  2370.452   969.665      26.728    24.756
  2421.105   962.918      25.680    24.074
  2479.955   871.574      21.394    20.276
  2488.992   967.222      30.959    26.204
  2513.701   936.530      28.049    25.768
  2609.653   911.953      20.144    18.284
  2592.464   932.543      21.299    19.487
  2611.529   957.455      28.391    24.813
  2609.106   966.647      25.268    23.600
  2637.946   878.529      23.614    22.077
  2629.907   928.206      27.006    24.639
  2662.481   881.978      18.448    16.814
  2650.318   974.002      26.741    24.492
  2687.735   930.870      24.186    22.707
  2667.214   945.831      26.298    25.846
  2710.351   933.223      26.700    25.838
  2689.454   977.736      27.615    24.495
  2695.306   969.852      24.766    23.075
  2704.300   963.428      27.346    25.554
  2705.612   981.467      24.579    23.028
  2732.390   847.818      21.513    19.734
  2718.224   976.902      27.161    23.878
  2721.055   966.675      28.154    25.556
  2733.702   973.431      24.565    22.876
  2785.996   986.516      24.680    22.945
  2794.183   956.648      27.792    25.592
  2865.731   945.282      24.479    22.881
  2901.211   857.462      24.758    23.116
  2953.215   926.219      26.174    23.980
  2959.409   933.815      24.327    22.663
  2943.366   979.383      26.202    24.478
  2952.593   981.293      21.885    19.994
  2980.255   835.732      25.528    23.653
  2964.999   917.208      26.640    25.228
  2975.210   942.558      26.871    25.521
  2970.865   973.776      27.395    24.972
  3000.246   952.113      24.866    23.098
  3026.216   910.336      25.165    23.447
  3015.251   986.263      26.442    24.845
  3070.878   917.621      26.901    24.535
  3108.806   897.754      26.865    25.356
  3094.917   932.742      30.207    26.917
  3104.975   959.513      26.072    25.327
  3136.541   930.513      25.906    24.231
  3113.264   942.049      27.849    24.769
  3144.642   908.045      26.416    25.572
  3168.085   889.956      26.877    24.824
  3169.343   964.284      27.248    26.832
  3191.488   939.823      28.337    25.235
  3206.431   980.779      26.673    25.252
  3221.662   873.305      24.492    22.737
  3227.331   906.949      25.530    23.339
  3226.384   937.023      28.740    26.172
  3258.914   846.027      24.167    22.347
  3248.709   949.989      22.875    20.932
  3267.953   935.732      26.976    25.108
  3263.325   953.557      24.362    22.647
  3278.877   944.079      25.344    23.644
  3275.537   943.038      26.740    24.449
  3274.304   975.280      24.684    22.903
  3292.177   934.032      27.865    25.418
  3291.281   977.006      22.995    21.061
  3330.229   898.817      26.512    25.235
  3322.622   961.474      26.229    26.173
  3326.467   947.617      24.658    22.883
  3356.556   823.678      24.606    22.996
  3342.613   883.851      27.118    25.146
  3373.167   897.107      27.278    25.644
  3386.127   980.879      26.786    24.608
  3400.634   977.173      25.218    23.387
  3425.093   805.912      23.615    21.690
  3434.984   878.155      27.461    25.023
  3422.594   900.474      25.506    23.642
  3462.398   871.820      25.683    24.009
  3443.104   890.477      25.292    23.473
  3440.016   918.246      26.039    24.284
  3442.501   952.000      26.753    24.603
  3469.751   891.593      24.590    22.871
  3497.727   852.725      22.855    21.052
  3500.073   906.922      29.259    25.825
  3497.315   948.539      27.270    24.537
  3531.876   903.334      24.935    23.146
  3535.138   944.273      28.614    29.730
  3515.348   975.810      25.954    24.628
  3547.708   811.872      23.688    21.974
  3561.595   888.006      26.481    24.726
  3546.228   902.772      24.969    23.299
  3590.597   972.589      26.339    24.848
  3614.288   881.073      26.925    26.034
  3617.029   949.598      25.881    24.333
  3628.685   957.524      26.200    25.207
  3662.907   914.920      26.875    25.391
  3641.951   952.342      27.425    24.776
  3678.567   886.461      25.757    24.019
  3678.445   961.727      25.974    24.624
  3700.485   875.975      26.405    25.168
  3702.347   985.140      26.529    25.080
  3717.353   883.726      25.542    24.061
  3735.295   896.569      25.436    23.911
  3717.645   922.756      27.151    23.829
  3719.634   984.876      28.070    25.052
  3719.458   971.050      27.818    25.487
  3757.139   850.590      26.707    25.428
  3752.876   894.284      28.136    25.139
  3750.028   897.164      27.991    25.983
  3745.301   924.677      27.703    25.839
  3750.971   915.654      27.848    23.735
  3738.065   950.384      26.542    25.245
  3774.566   794.102      24.252    22.665
  3779.998   841.945      20.514    18.697
  3782.087   856.393      25.530    25.003
  3763.071   907.067      26.666    24.564
  3768.207   921.575      26.110    24.460
  3776.283   919.945      23.322    21.705
  3827.075   847.852      25.817    24.196
  3820.798   881.002      29.536    22.047
  3816.243   909.513      26.777    24.920
  3910.008   854.812      27.104    24.904
  3897.969   919.154      25.624    23.760
  3904.848   958.564      26.642    25.581
  3897.220   982.183      25.334    23.647
  3921.491   897.337      26.117    24.309
  3929.626   928.709      21.771    20.055
  3920.296   960.777      26.325    24.469
  3954.535   949.485      26.589    25.740
  3985.410   877.962      26.072    24.101
  3986.145   871.083      25.054    23.632
  3984.674   893.899      26.269    24.423
  3977.143   913.135      26.049    24.393
  3969.540   945.320      25.515    23.883
